"InventoryID","Glottocode","ISO6393","LanguageName","SpecificDialect","GlyphID","Phoneme","Allophones","Marginal","SegmentClass","Source","tone","stress","syllabic","short","long","consonantal","sonorant","continuant","delayedRelease","approximant","tap","trill","nasal","lateral","labial","round","labiodental","coronal","anterior","distributed","strident","dorsal","high","low","front","back","tense","retractedTongueRoot","advancedTongueRoot","periodicGlottalSource","epilaryngealSource","spreadGlottis","constrictedGlottis","fortis","raisedLarynxEjective","loweredLarynxImplosive","click"
1,"kore1280","kor",NA,NA,"2193","↓",NA,"FALSE","tone","fake","+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"kore1280","kor",NA,NA,"2193+02E9","↓˩",NA,"FALSE","tone","fake","+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"kore1280","kor",NA,NA,"0030","0",NA,"FALSE","","fake","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"kore1280","kor",NA,NA,"0030","0",NA,"FALSE","","fake","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"kore1280","kor",NA,NA,"0061","a",NA,"FALSE","vowel","fake","0","-","+","-","-","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","-","+","-","-","0","-","-","+","-","-","-","0","-","-","0"
1,"kore1280","kor",NA,NA,"0061+0306","ă",NA,"FALSE","vowel","fake","0","-","+","+","-","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","-","+","-","-","0","-","-","+","-","-","-","0","-","-","0"
1,"kore1280","kor",NA,NA,"0061+0303","ã",NA,"FALSE","vowel","fake","0","-","+","-","-","-","+","+","0","+","-","-","+","-","-","0","0","-","0","0","0","+","-","+","-","-","0","-","-","+","-","-","-","0","-","-","0"
1,"kore1280","kor",NA,NA,"0061+0320","a̠",NA,"FALSE","vowel","fake","0","-","+","-","-","-","+","+","0","+","-","-","-","-","-","0","0","-","-","+","0","+","-","+","-","-","0","-","-","+","-","-","-","0","-","-","0"
1,"kore1280","kor",NA,NA,"0061+032F","a̯",NA,"FALSE","vowel","fake","0","-","-","-","-","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","-","+","-","-","0","-","-","+","-","-","-","0","-","-","0"
1,"kore1280","kor",NA,NA,"0061+0320+0303","ã̠",NA,"FALSE","vowel","fake","0","-","+","-","-","-","+","+","0","+","-","-","+","-","-","0","0","-","-","+","0","+","-","+","-","-","0","-","-","+","-","-","-","0","-","-","0"
